sample_index,hardware_time,dt_hw,read_time,dt_read,batch_time,dt_batch,Fx,Fy,Fz,Tx,Ty,Tz
107,0.214000000,0.002000000,0.215540764,0.002094579,0.215539210,0.002094700,0.008531509,-0.006679739,-0.020607412,-0.000051024,-0.000159263,0.000004671
108,0.216000000,0.002000000,0.217639261,0.002098497,0.217637124,0.002097914,-0.003524202,0.007243460,0.003626978,-0.000001734,-0.000130855,0.000089531
109,0.218000000,0.002000000,0.219781414,0.002142153,0.219778902,0.002141778,0.000374544,-0.008974433,0.003289332,-0.000048155,-0.000042337,0.000059379
110,0.220000000,0.002000000,0.221933348,0.002151934,0.221930983,0.002152081,0.002392178,-0.012549135,0.006513480,0.000049067,-0.000097077,0.000058184
111,0.222000000,0.002000000,0.224055526,0.002122178,0.224053371,0.002122388,-0.017618066,0.013256500,0.010913549,-0.000100484,0.000093421,0.000036195
112,0.224000000,0.002000000,0.225159134,0.001103608,0.225157037,0.001103666,-0.005653420,0.003869880,0.010460652,-0.000145438,0.000011657,0.000089351
113,0.226000000,0.002000000,0.227291143,0.002132009,0.227288945,0.002131908,-0.011609061,-0.004255829,0.007105539,0.000096323,-0.000015526,0.000116703
114,0.228000000,0.002000000,0.229421008,0.002129865,0.229418905,0.002129960,-0.011679175,-0.004034456,0.000439668,0.000142721,0.000175424,0.000119843
115,0.230000000,0.002000000,0.231558659,0.002137651,0.231556348,0.002137443,-0.005651753,0.008636342,0.007156972,0.000092417,0.000144471,0.000065207
116,0.232000000,0.002000000,0.233700236,0.002141577,0.233698181,0.002141833,-0.011508175,0.005062042,-0.002937952,0.000188959,-0.000021524,0.000063761
117,0.234000000,0.002000000,0.235858401,0.002158165,0.235856431,0.002158250,-0.001616745,-0.007777236,0.000035489,-0.000095470,-0.000070519,0.000115290
118,0.236000000,0.002000000,0.237983658,0.002125257,0.237981421,0.002124990,0.000287880,0.000398170,0.017041754,0.000145257,0.000063896,0.000173979
