time,Fx,Fy,Fz,Tx,Ty,Tz
0.426000,-0.004769,0.000460,0.007014,-0.000001,-0.000001,0.000047
0.428000,0.009244,-0.005437,0.003104,0.000143,-0.000031,0.000019
0.430000,0.001312,0.001667,-0.009988,0.000095,-0.000063,0.000105
0.432000,0.003142,-0.006364,-0.003509,-0.000247,0.000251,-0.000203
0.434000,-0.006725,0.004055,-0.006297,-0.000049,-0.000032,0.000132
0.436000,-0.004823,0.000409,0.017148,-0.000096,0.000002,0.000046
0.438000,-0.000772,0.012098,0.007039,-0.000150,0.000080,-0.000062
0.440000,0.001302,-0.005345,-0.010154,-0.000002,-0.000058,0.000019
0.442000,-0.008676,0.000245,0.013776,0.000049,-0.000192,0.000045
0.444000,0.003331,0.000424,-0.006810,0.000140,-0.000034,-0.000035
0.446000,0.003096,0.002977,0.007004,-0.000000,0.000161,0.000162
0.448000,-0.002874,-0.003035,0.013662,-0.000386,0.000062,-0.000039
0.450000,-0.004748,-0.001897,0.006832,0.000043,0.000084,-0.000148
0.452000,0.003418,0.002803,-0.020276,0.000284,-0.000067,-0.000005
0.454000,-0.000822,0.000287,0.023702,-0.000145,-0.000023,-0.000039
0.456000,-0.004583,0.004916,-0.003164,-0.000050,-0.000252,0.000018
0.458000,-0.004726,-0.004227,0.000138,-0.000098,-0.000054,-0.000010
0.460000,0.007226,0.012140,0.000183,-0.000051,0.000019,0.000106
0.462000,0.003367,-0.004085,-0.027077,0.000044,-0.000035,-0.000007
0.464000,-0.006794,0.006409,0.000442,-0.000196,0.000109,-0.000006
0.466000,0.001369,-0.005571,-0.000126,0.000096,-0.000223,0.000017
0.468000,0.007140,0.002879,0.006848,0.000048,0.000077,0.000161
0.470000,0.001203,0.001710,0.000297,0.000003,-0.000061,0.000271
0.472000,-0.000720,-0.008816,-0.010136,-0.000097,-0.000055,0.000018
0.474000,0.005175,0.006291,0.010197,-0.000003,0.000106,-0.000006
0.476000,0.003283,-0.004371,0.006566,-0.000051,-0.000082,-0.000095
0.478000,-0.014453,0.003700,-0.009709,0.000095,-0.000390,0.000045
0.480000,0.001310,-0.009994,-0.010230,0.000192,-0.000059,0.000047
0.482000,-0.000748,-0.001941,0.006767,-0.000003,0.000000,-0.000065
0.484000,-0.002475,0.010633,-0.006559,0.000142,-0.000368,0.000047
0.486000,-0.000696,-0.006657,-0.000063,-0.000146,-0.000136,-0.000040
0.488000,0.001186,0.011021,0.007112,0.000047,0.000076,0.000134
0.490000,0.003309,-0.001865,-0.010157,-0.000002,-0.000060,0.000020
0.492000,0.009256,0.008526,0.003346,-0.000051,-0.000034,0.000021
0.494000,0.007488,0.002776,-0.033898,0.000091,-0.000178,-0.000006
0.496000,-0.004663,0.000600,-0.020024,-0.000053,0.000023,-0.000034
0.498000,0.011277,0.002746,-0.003579,0.000093,-0.000008,-0.000007
0.500000,0.007172,0.007643,-0.006665,-0.000102,0.000214,-0.000032
0.502000,0.009116,0.004099,0.003452,-0.000049,0.000132,0.000134
0.504000,0.019195,0.009786,-0.000257,-0.000005,0.000100,-0.000005
0.506000,-0.000764,0.010110,-0.023180,-0.000198,0.000156,0.000081
0.508000,0.003437,0.004997,-0.013612,0.000137,-0.000091,-0.000146
0.510000,-0.000771,0.007626,-0.006427,0.000044,0.000130,0.000052
0.512000,0.005283,0.011012,-0.009948,-0.000052,0.000018,0.000051
0.514000,0.007379,0.000516,-0.020525,0.000279,0.000100,-0.000199
0.516000,-0.002529,0.003913,-0.026856,-0.000149,-0.000200,-0.000036
0.518000,0.007261,0.012128,-0.003210,-0.000003,-0.000010,0.000106
0.520000,0.001245,-0.002990,-0.003323,-0.000001,-0.000003,0.000048
0.522000,-0.004706,-0.001794,-0.006497,0.000143,-0.000032,0.000104
0.524000,0.013207,-0.012261,-0.007247,0.000237,0.000133,-0.000063
0.526000,0.005296,0.004092,-0.016810,0.000092,0.000045,0.000051
0.528000,0.011362,-0.006735,-0.003835,0.000191,-0.000170,-0.000038
0.530000,-0.000650,0.000478,-0.013378,0.000046,-0.000089,0.000048
